ID,中藥中文名,中藥拉丁學名,中藥英文名,中藥基原,西藥學名,建議處理方式,項次_x,研究設計,可能交互作用機轉,可能交互作用結果,參考文獻,項次_y,篇名,連結
11,甘草,拉丁學名：GLYCYRRHIZAE RADIX ET RHIZOMA,英文名：Liquorice Root and Rhizome,基原：,學名：Warfarin,使用Warfarin治療，若長期併用甘草，或服用高劑量甘草，宜監測INR，並觀察有無出現出血症狀。,['1'],['個案報告'],['甘草內含物質Glabridin會抑制Warfarin的代謝酵素CYP3A4、CYP2B6、CYP2C9，因此甘草可能使Warfarin作用增強。'],['一例80歲女性個案報告，平時每天服用Warfarin 1 mg，維持INR於治療範圍內，在服用1磅黑甘草(Black licorice) 4 天後出現2\r\r\n次黑色柏油狀糞便，INR增加至5.5 (原本 INR 值 2.1)，並出現低血壓、心悸等現象，血比容由原本的 34%降到14%。( 國外的個案報告，使用黑甘草，而且是大\r\r\n劑量使用。中醫師處方用的甘草，與國外的「黑甘草」不同，且通常劑量不高，對於Warfarin可能影響不顯著。)'],"['1,2,3,4,46']","[None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Micromedex 2.0', 'Black licorice ingestion: Yet another confounding agent in patients with melena.World J Gastrointest Surg. 2010 Jan 27;2\r\r\n(1):30-1.']","[None, None, None, None, None]"
12,生脈飲,拉丁學名：,英文名：,基原：,學名：Warfarin,"若須併用，對於高出血風險者(如年紀大、凝血功能異常、多重抗血栓藥品併用等)須謹慎留意，建議
密切監測INR，並衛教病人出血徵象及處理方式。對於已長期使用生脈飲之病人，在開始使用Warfarin時，建議可由低劑量起始，觀察臨床反應後再漸進調整劑量
。",['1'],['病例報告'],['機制未明。'],['生脈飲可能使INR上升，增加Warfarin之抗凝血效果，然而臨床實際\r\r\n交互作用影響程度，因資料有限，仍待確認。'],"['1,2,47']","[None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Interaction between Warfarin and the Herbal Product Shengmai-Yin: A Case Report of Intracerebral Hematoma. Yonsei Med J. \r\r\n2010 Sep;51(5):793-6.']","[None, None, None]"
13,西洋參,拉丁學名：PANACIS QUINQUEFOLII RADIX,英文名：American Ginseng,基原：,學名：Warfarin,"若合併使用西洋參及Warfarin，特別對於需維持較高INR之病人(如裝
有機械性瓣膜)，建議密切監測INR並衛教患者於服藥期間留意血栓產生之徵象(如腿部腫痛、胸痛、呼吸困難等)。","['1', '2']","['健康受試者，雙盲隨機分配對照試驗', '健康受試者臨床試驗']","['詳細機轉未明，但可能與藥物動力學無關。', '機制未明。']","['健康受試者為期兩週的試驗，西洋參降低Warfarin抗凝血效果(INR值下降0.19)。對於Warfarin長期治療的病人，若\r\r\n併用西洋參，臨床實際交互作用影響程度，因資料有限，仍待確認。', '服用西洋參2星期後，warfarin的抗凝血活性降低。']","['1,2,3,4,48', '80']","[None, None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Micromedex 2.0', ""Brief communication: American ginseng reduces warfarin's effect in healthy patients: a randomized, controlled Trial.Ann \r\r\nIntern Med. 2004 Jul 6;141(1):23-7."", ""Yuan CS, Wei G, Dey L, Karrison T, Nahlik L, Maleckar S, Kasza K, Ang-lee M, Moss J. Brief Communication: American \r\r\nGinseng Reduces Warfarin's Effect in Healthy Patients. Annals of Internal Medicine. 2004; 141(1):23-7. [SCI] Impact Factor: 16.225""]","[None, None, None, None, None, None]"
14,西洋參,拉丁學名：PANACIS QUINQUEFOLII RADIX,英文名：American Ginseng,基原：,學名：降血糖藥,"若須併用，衛教病人低血糖發生之徵象及處理方式，對於低血
糖較敏感之老年人或已併用多種降血糖藥品者，須特別留意",['1'],['文獻回顧'],['詳細機轉未明，可能是西洋參有降血糖加成作用。'],['可能增加\r\r\n低血糖發生率。'],[None],[None],['無相關文獻。'],[None]
15,刺五加,拉丁學名：,英文名：,基原：,學名：Digoxin,"若合併使用，需注意病人的臨床症狀。若病人Digoxin濃度過高，卻沒有Digoxin中毒症狀，可能是刺
五加干擾 Digoxin濃度測定的結果。可採用新型檢驗儀器，得到Digoxin的準確檢測結果。","['1', '2', '3', '4', '5', '6']","['文獻回顧', '文獻回顧', '文獻回顧', '文獻回顧', '文獻回顧', '文獻回顧']","['機制未明。', '可能因為刺五加含有digoxin類似物，會干擾 digoxin的濃度測定。', '可能因為人參含有digoxin類似物，會干擾 digoxin的濃度測定。', '刺五加含有類似Digoxin的物質，可能會干擾Digoxin的血中濃度的檢測。', '刺五加可能有干擾digoxin檢測的成分。', '刺五加可能有干擾digoxin檢測的成分。']","['刺五加可能干擾Digoxin生化檢驗分析結果導致濃度上升，然而臨床實際交互作用影響程度，因資料有限，仍待確認。', '〔體外酶分析法〕合併使用刺五加，並監測Digoxin濃度，在FPIA方法中測得濃度偽提升；在\r\r\nMEIA方法中測得濃度偽下降；而在EMIT、Bayer、Roche或Beckman分析方法中並未測得有交互作用。整體評估為刺五加與Digoxin有中度交互作用。\n〔臨床案例〕\r\r\n在服用刺五加後，患者的Digoxin血中濃度上升至5.2ng/ml且並無任何Digoxin中毒現象。而在停止服用刺五加後，患者的Digoxin血中濃度又回到最初的治療濃度\r\r\n。', '併用刺五加可能會假性增加Digoxin的血中濃度。', '併用刺五加可能會使Digoxin之血中濃度偽上升。', '刺五加併用digoxin增加其血中濃度，卻不造成藥物不良反應', '系列個案報告，僅藥物動力學證據，而無臨床影響，刺五加並用digoxin，可能加強藥物效用。']","['1,2,16', '105', '100', '108', '81', '88']","[None, None, None, None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Elevated serum Digoxin levels in a patient taking Digoxin and Siberian ginseng .Can Med Assoc J (1996)155,293-5.', 'Izzo AA, Di Carlo G, Borrelli F, Ernst E. Cardiovascular pharmacotherapy and herbal medicines: the risk of drug \r\r\ninteraction.Int J Cardiol. 2005; 98(1):1-14. [SCI] Impact Factor: 3.469.', 'Brazier NC, Levine MA. Drug-herb interaction among commonly used conventional medicines: a compendium for health care \r\r\nprofessionals. Am J Ther. 2003; 10(3):163-9.', 'Cheng TO . Herbal interactions with cardiac drugs. Arch Intern Med. 2000; 160(6):870-1.', 'Dasgupta A, Bernard DW. Herbal remedies: effects on clinical laboratory tests. Arch Pathol Lab Med. 2006; 130(4):521-8. \r\r\n[SCI] Impact Factor: 1.698', 'Hu Z, Yang X, Ho PC, Chan SY, Heng PW, Chan E, Duan W, Koh HL, Zhou S . Herb-drug interactions: a literature review. \r\r\nDrugs. 2005; 65(9):1239-82. [SCI] Impact Factor: 4.732']","[None, None, None, None, None, None, None, None]"
16,枸杞子,拉丁學名：LYCII FRUCTUS,英文名：Wolfberry Fruit,基原：,學名：Warfarin,"使用Warfarin治療的病人，在不確定風險的情況，避免
合併使用枸杞，比較安全。若病情需要而使用枸杞，宜嚴密監控INR，觀察身體有無出血症狀，例如牙齦出血、皮膚瘀青、大便顏色變黑。若發生出血，建議及早
回診，由醫師調整用藥。",['1'],['個案報告'],['枸杞子會去抑制CYP2C9，而輕微抑制S-warfarin的代謝。'],['併用枸杞子與warfarin可能會增加出血的風\r\r\n險。'],"['1,2,49,50,51']","[None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Probable Interaction Between Lycium barbarum (Goji) and Warfarin, Pharmacotherapy. 2012 Jan 31.', 'Warfarin overdose due to the possible effects of Lycium barbarum L., Food Chem Toxicol. 2008 May;46(5):1860-2.', 'Possible interaction between warfarin and Lycium barbarum L.Ann Pharmacother. 2001 Oct;35(10):1199-201.']","[None, None, None, None, None]"
17,胡椒,拉丁學名：PIPERIS FRUCTUS,英文名：Pepper,基原：,學名：Propranolol,須注意血壓的變化。若發現使用Propranolol病人開始併用含胡椒之藥品後，發生顯著低血壓、心跳緩慢等症狀時，可考慮交互作用之可能性。,['1'],['文獻回顧'],"['確實機轉未明，但可能與Piperine可促進Propranolol在腸胃道吸收及抑制其肝臟代謝酵素(CYP1A1, CYP1A2 CYP2D6)\r\r\n有關。']",['可能增加Propranolol血中濃度，然而臨床實際交互作用影響程度，因資\r\r\n料有限，仍待確認。'],"['2,30']","[None, None]","[""Stockley's Herbal Medicines Interactions (Second edition)"", 'Effect of piperine on bioavailability and pharmacokinetics of propranolol and theophylline in healthy volunteers. Eur J \r\r\nClin Pharmacol. 1991;41(6):615-7.']","[None, None]"
18,乾薑,拉丁學名：ZINGIBERIS RHIZOMA,英文名：Dry Ginger Rhizome,基原：,學名：Nifedipine,若合併使用，建議由醫師指導用藥，並規律量測血壓。,['1'],['文獻回顧'],['確實機轉未明，交互作用的發生，懷疑可能與薑抑制血小板凝集有關，而Nifedipine同時具些微抗血小板凝集作用，\r\r\n併用導致抗血小板凝集作用加成。'],['可能使抗血小板凝集效果加成，然而臨床實際交互作用影響程度，因資料有限，仍待確認。'],"['1,2,27']","[None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Synergistic effect of ginger and nifedipine on human platelet aggregation: a study in hypertensive patients and normal \r\r\nvolunteers.Am J Chin Med. 2006;34(4):545-51.']","[None, None, None]"
19,當歸,拉丁學名：ANGELICAE SINENSIS RADIX,英文名：Chinese Angelica Root,基原：本品為繖形科Umbelliferae植物當歸,學名：Warfarin,"使用Warfarin治療的病人，在不確定風險的情況，避免合併使用當歸，比較安全。若病情需要而使用當歸，宜嚴密監控INR，觀察身體有無出血症狀，
例如牙齦出血、皮膚瘀青、大便顏色變黑。若發生出血，建議及早回診，由醫師調整用藥。","['1', '2', '3', '4', '5', '6', '7', '8']","['個案報告', '文獻回顧', '文獻回顧中的2例個案報告', '文獻回顧', '動物實驗', '臨床問卷調查', '臨床問卷調查', '個案報告']","['當歸根部含多種天然的coumarin衍生物，其成分 ferulic acid 和 osthole 具抗血小板活性，可能因而增加增加抗凝血\r\r\n作用。', '機制未明。', '當歸中的香豆素取代維他命K，當作apoenzyme(一種酶複合物)，而具有抗凝血作用，增加出血風險。', '當歸的香豆素取代維生素K與凝血酵素複合體之結合，弱化凝血作用。', '機制未明。', '無探討機轉', '無探討機轉', '當歸含有天然的coumarin衍生物，作用與Warfarin相似。']","['一名46歲女性，每天服用Warfarin 5 mg，INR維持於2~3，無其他影響Warfarin的因子，在服用當歸(每天 1-2 次，每次1錠，每錠含 565 mg \r\r\n當歸) 4週後，INR由原本1.89上升至4.05，臨床上無出血症狀，在停用Warfarin一次劑量後仍持續每天 Warfarin 5 mg，之後監測INR為4.9，但在停用當歸後2周\r\r\n再追蹤之INR降低至3.41，持續停用當歸並繼續服用相同Warfarin 劑量，再經過 2 周後，INR已降低至2.48，Naranjo score交互作用評', '有文獻顯示當歸與warfarin併用時可能會增加出血的風險', '當\r\r\n歸與 warfarin併用增加抗凝血效果。', '併用當歸與Warfarin可能會增加INR。', '兔的實驗，合併warfarin及當歸，PT輕度延長(不顯著)，但六隻實驗兔在七天後有兩隻死亡。', '250位接受問卷調查(是否服用各種草藥)，其中5人在Warfarin治療期間，有服用當歸。本篇文章，\r\r\n沒有描述病人的劑量，也無INR，僅引用其他文獻，說這些人可能會增加出血時間(increase bleeding time)。', '944人接受問卷調查(是否服用各種草藥)，心血管疾病佔167人，其中33人在西藥治療期間與合併使\r\r\n用草藥，分四種類型 (1) 銀杏葉與 Aspirin (2) 人參與 Morphine (3) 銀杏葉與Heparin (4) 當歸與Warfarin。文章無描述當歸與Warfarin的併用人數，沒有\r\r\nINR數據，也沒有提到這些人是否發生出血反應，僅引用其他文獻，說這些人可能有潛在的出血風險。', '一名46歲女性，PT及INR升高為兩倍。停用當歸一個\r\r\n月後，PT與INR回復到治療範圍。']","['1,2,3,4,52', '82', '81', '213', '84', '131', '78', '133']","[None, None, None, None, None, None, None, None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Micromedex 2.0', 'Potentiation of Warfarin by dong quai.Pharmacotherapy. 1999 Jul;19(7):870-6.', 'Rogers EA, Gough JE, Brewer KL. Are emergency department patients at risk for herb-drug interactions?Acad Emerg Med. \r\r\n2001; 8(9):932-4.', 'Izzo AA, Di Carlo G, Borrelli F, Ernst E. Cardiovascular pharmacotherapy and herbal medicines: the risk of drug \r\r\ninteraction.Int J Cardiol. 2005; 98(1):1-14. [SCI] Impact Factor: 3.469.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration. Current Drug Metabolism. 2008; 9(10):1063-120. [SCI] Impact Factor: 3.989.', 'Lo AC, Chan K, Yeung JH, Woo KS. Danggui (Angelica sinensis) affects the pharmacodynamics but not the pharmacokinetics of \r\r\nwarfarin in rabbits. Eur J Drug Metab Pharmacokinet. 1995; 20(1):55-60.', 'Saw JT, Bahari MB, Ang HH, Lim YH . Potential drug-herb interaction with antiplatelet/anticoagulant drugs. Complement \r\r\nTher Clin Pract. 2006; 12(4):236-41.', 'Page RL, 2nd, Lawrence JD . Potentiation of warfarin by dong quai. Pharmacotherapy. 1999; 19(7):870-6.', 'Cheng KF, Leung KS, Leung PC. Interactions between modern and Chinese medicinal drugs: a general review.\xa0Am J Chin Med. \r\r\n2003; 31(2):163-9.\xa0[SCI]\xa0Impact Factor: 0.627']","[None, None, None, None, None, None, None, None, None, None, None, None]"
33,薄荷,拉丁學名：MENTHAE HERBA,英文名：Peppermint Herb,基原：本品為唇形科Labiatae植物薄荷,學名：Felodipine,"若合併使用，建議由醫師
指導用藥，並規律量測血壓，注意血壓的變化。",['1'],['文獻回顧'],['確實機轉未明，可能是薄荷會抑制CYP3A4的活性，造成Felodipine的生體可用率增加。'],['可能會增加 \r\r\nFelodipine的生體可用率，但臨床實際交互作用影響程度，因資料有限，仍待確認。'],"['1,2,19,20']","[None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", 'Evaluation of peppermint oil and ascorbyl palmitate as inhibitors of cytochrome P4503A4 activity in vitro and in vivo. \r\r\nClin Pharmacol Ther. 2002 Sep;72(3):247-55.', 'Effect of menthol on the pharmacokinetics and pharmacodynamics of felodipine in healthy subjects.Eur J Clin Pharmacol. \r\r\n2005 Jan;60(11):785-90. Epub 2004 Dec 11.']","[None, None, None, None]"
34,薄荷,拉丁學名：MENTHAE HERBA,英文名：Peppermint Herb,基原：本品為唇形科Labiatae植物薄荷,學名：Warfarin,"一般Warfarin併用含少量之薄荷製品，不須特別額外處置。但若併用薄荷屬治療劑量時，特別對於需維
持較高INR之病人(如裝有機械性瓣膜)，建議注意病人的臨床表現，密切監測INR並衛教患者於服藥期間留意血栓產生之徵象。",['1'],['個案報告'],['機制未明。'],['薄荷可能導致INR降低，減少Warfarin抗凝血效果。'],"['4,62,63']","[None, None, None]","['Micromedex 2.0', 'Possible warfarin interaction with menthol cough drops.Ann Pharmacother. 2005 Feb;39(2):365-7.', 'Probable warfarin interaction with menthol cough drops.Pharmacotherapy. 2010 Jan;30(1):110.']","[None, None, None]"
35,薑,拉丁學名：CURCUMAE LONGAE RHIZOMA,英文名：Turmeric Rhizome,基原：本品為薑科Zingiberaceae植物薑黃,學名：Warfarin,"一般中藥處方，含少量的薑，
對於Warfarin的抗凝血作用，可能影響不大。若使用高劑量的薑，或者長期使用，宜注意是否出現出血，監測INR，並密切注意觀察出血之症狀。","['1', '2', '3', '4', '5', '6']","['個案報告', '文獻回顧', '文獻回顧', '臨床試驗', '臨床問卷調查，對照INR驗血報告', '臨床問卷調查']","['詳細機轉未明，可能與薑會抑制血小板凝集功能，或與抑制肝臟代謝酵素CYP450有關。', '薑可能透過抑制thromboxane synthetase而促進抗凝血作用。', '機制未明。', '機制未明。', '機制未明。', '機制未明。']","['併用可能增加出血風險，但臨床實際交互作用影響程度因人而異，需進一步研究確認\r\r\n。', '併用薑可能會增進Warfarin之抗凝血作用。', '同時使用薑以及抗凝血藥\r\r\n，可能會增強其效果並增加出血的風險。', '薑的併用，對warfarin的\r\r\n藥物動力學、藥物效力學、抗凝血，無顯著影響。', '非瓣膜性心房顫動，使用\r\r\nwarfarin治療的患者，若合併服用薑，可能使INR升高。', '250位接受問卷調查(是否\r\r\n服用各種草藥)，其中5人在Warfarin治療期間，有服用薑。本篇文章，沒有描述病人的劑量，也無INR，僅引用其他文獻，說這些人可能會增加出血時間(increase \r\r\nbleeding time)。']","['1,2,3,4,64,65,66,67', '101', '82', '91', '93', '131']","[None, None, None, None, None, None, None, None, None, None, None, None, None]","['Natural Standard Professional Database Interaction Checker', ""Stockley's Herbal Medicines Interactions (Second edition)"", ""Lexi-Comp's Comprehensive Drug-to-Drug, Drug-to-Herb and Herb-to-Herb Interaction Analysis Program."", 'Micromedex 2.0', 'Risk of warfarin-related bleeding events and supratherapeutic international normalized ratios associated with \r\r\ncomplementary and alternative medicine: a longitudinal analysis. Pharmacotherapy. 2007 Sep;27(9):1237-47.', 'Effect of ginkgo and ginger on the pharmacokinetics and pharmacodynamics of warfarin in healthy subjects. Br J Clin \r\r\nPharmacol. 2005 Apr;59(4):425-32.', 'Investigation of the effects of herbal medicines on warfarin response in healthy subjects: a population pharmacokinetic-\r\r\npharmacodynamic modeling approach.J Clin Pharmacol. 2006 Nov;46(11):1370-8.', 'A 76-year-old woman with erratic anticoagulation.Cleve Clin J Med. 2004 Aug;71(8):651-6.', 'Ulbricht C, Chao W, Costa D, Rusie-Seamon E, Weissner W, Woods J. Clinical Evidence of Herb-Drug Interactions: A \r\r\nSystematic Review by the Natural Standard Research Collaboration. Current Drug Metabolism. 2008; 9(10):1063-120. [SCI] Impact Factor: 3.989.', 'Jiang X, Williams KM, Liauw WS, Ammit AJ, Roufogalis BD, Duke CC, Day RO, McLachlan AJ . Effect of ginkgo and ginger on \r\r\nthe pharmacokinetics and pharmacodynamics of warfarin in healthy subjects. Br J Clin Pharmacol. 2005; 59(4):425-32. [SCI] Impact Factor', 'Chan HT, So LT, Li SW, Siu CW, Lau CP, Tse HF . Effect of herbal consumption on time in therapeutic range of warfarin \r\r\ntherapy in patients with atrial fibrillation. J Cardiovasc Pharmacol. 2011; 58(1):87-90.', 'Miller LG . Herbal medicinals: selected clinical considerations focusing on known or potential drug-herb interactions. \r\r\nArch Intern Med. 1998; 158(20):2200-11. [SCI] Impact Factor: 9.813.', 'Saw JT, Bahari MB, Ang HH, Lim YH . Potential drug-herb interaction with antiplatelet/anticoagulant drugs. Complement \r\r\nTher Clin Pract. 2006; 12(4):236-41.']","[None, None, None, None, None, None, None, None, None, None, None, None, None]"
36,薑黃,拉丁學名：CURCUMAE LONGAE RHIZOMA,英文名：Turmeric Rhizome,基原：本品為薑科Zingiberaceae植物薑黃,學名：Nifedipine,"若合併使用，建議
由醫師指導用藥，並規律量測血壓，注意血壓的變化。",['1'],['10位健康受試者臨床試驗'],['可能是薑黃不會抑制CYP3A4的活性，對健康受試者，控制組與實驗組(併用薑黃)無明顯差異。'],['併用薑黃，對\r\r\n於Nifedipine的藥物動力學參數，沒有影響。'],"['1,29']","[None, None]","['Natural Standard Professional Database Interaction Checker', 'Effects of turmeric extract on the pharmacokinetics of nifedipine after a single oral administration in healthy \r\r\nvolunteers. J Diet Suppl. 2008;5(4):401-10.']","[None, None]"
37,川芎茶調散,拉丁學名：,英文名：,基原：,學名：Midazolam,若需併用，宜觀察治療的反應，由醫師調整用藥，老年人需注意預防跌倒。,"['1', '2']","['動物試驗', '動物試驗']","['川芎茶調散可抑制CYP3A4。', '川芎茶調散可能抑制CYP3A4的作用。']","['大鼠在餵食川芎茶調散七天（一天三次，N=7）後，顯示肝CYP3A活性由0.34±0.30 \r\r\nnmole/mg protein/min提高為0.73±0.29 nmole/mg protein/min，但並無顯著性差異；而腸CYP3A活性0.016±0.0005 nmole/mg protein/min降低為0.008±0.004 \r\r\nnmole/mg protein/min，但也並無顯著性差異。', '大鼠在餵食川芎茶調散七天（一天三次，N=7）後，顯示肝CYP3A活性由\r\r\n0.34±0.30 nmole/mg protein/min提高為0.73±0.29 nmole/mg protein/min，但並無顯著性差異；而腸CYP3A活性0.016±0.0005 nmole/mg protein/min降低為\r\r\n0.008±0.004 nmole/mg protein/min，但也並無顯著性差異。']","['178', '178']","[None, None]","['鮑力恒。 臨床常用複方濃縮中藥製劑與西藥於動物體內交互作用之研究－短期及長期使用後之評估。衛生署中醫藥委員會研究計畫。', '鮑力恒。 臨床常用複方濃縮中藥製劑與西藥於動物體內交互作用之研究－短期及長期使用後之評估。衛生署中醫藥委員會研究計畫。']","[None, None]"
38,小青龍湯,"拉丁學名：Siaocinglong Tang Concentrated Preparation (Granules, Powder)","英文名：Xiaoqinglon Tang Concentrated Preparation (Granules, Powder)","基原：本品之稀乙醇抽提物不得少於25.2%，水抽提物不得少於29.8%，每日量含白芍以芍藥苷(Paeoniflorin, C23H28O11)計不得少於46 mg，含麻黃以麻黃鹼(Ephedrine, C10H15NO)及擬麻黃鹼(Pseudoephedrine, C10H15NO)之總量計不得少於19 mg，並不得檢出馬兜鈴酸(Aristolochic acid)。",學名：Azelastine,"若合併使用，
建議觀察病人症狀，由醫師調整劑量。",['1'],['動物實驗'],['1.小青龍湯不會影響CYP450的活性。\n2.小青龍湯的主成分 ephedrine會延緩胃排空的速率。'],['八個月大的SD母老鼠實驗發現：\n1.口服\r\r\n小青龍湯不會影響靜脈注射Azelastine的血中濃度。\n2.口服小青龍湯會延遲口服Azelastine的吸收，但不改變其生體可利用率。'],['128'],[None],"['Makino T, Inagaki T, Komatsu K, Kano Y . Pharmacokinetic interactions between Japanese traditional medicine (kampo) and \r\r\nmodern medicine (III). Effect of Sho-seiryu-to on the pharmacokinetics of azelastine hydrochloride in rats. Biol Pharm Bull. 2004; 27(5']",[None]
39,小青龍湯,"拉丁學名：Siaocinglong Tang Concentrated Preparation (Granules, Powder)","英文名：Xiaoqinglon Tang Concentrated Preparation (Granules, Powder)","基原：本品之稀乙醇抽提物不得少於25.2%，水抽提物不得少於29.8%，每日量含白芍以芍藥苷(Paeoniflorin, C23H28O11)計不得少於46 mg，含麻黃以麻黃鹼(Ephedrine, C10H15NO)及擬麻黃鹼(Pseudoephedrine, C10H15NO)之總量計不得少於19 mg，並不得檢出馬兜鈴酸(Aristolochic acid)。",學名：Carbamazepine,"Carbamazepine治療期間，若合併使用小青龍湯，應監測血中Carbamazepine濃度，由醫師調
整用藥。",['1'],['動物實驗'],['機制未明。'],['同時併用小青龍湯與carbamazepine，減慢carbamazepine的吸收。先\r\r\n用小青龍湯一週，後給予carbamazepine，carbamazepine代謝加速，而對蛋白的結合無影響。'],['141'],[None],"['Ohnishi N, Kusuhara M, Yoshioka M, Kuroda K, Soga A, Nishikawa F, Koishi T, Nakagawa M, Hori S, Matsumoto T, Yamashita \r\r\nM, Ohta S, Takara K, Yokoyama T . Studies on interactions between functional foods or dietary supplements and medicines. I. Effects of G']",[None]
